epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,197.56,1.75376,1.33766,1.4659,0.2949,0.36412,0.30791,0.12653,1.97321,1.52881,1.64914,0.00107366,0.00107366,0.00107366
59,200.804,1.76469,1.31997,1.4441,0.47332,0.35433,0.33158,0.12697,1.98244,1.52866,1.63943,0.00107056,0.00107056,0.00107056
60,204.238,1.74124,1.30737,1.44783,0.52607,0.30339,0.30857,0.12047,1.99062,1.48982,1.64819,0.00106747,0.00106747,0.00106747
61,207.567,1.75911,1.32893,1.44475,0.46469,0.32202,0.31311,0.11897,2.01782,1.58462,1.65761,0.00106437,0.00106437,0.00106437
62,210.97,1.72939,1.29612,1.42353,0.4175,0.33097,0.31317,0.1287,2.01857,1.5342,1.63183,0.00106128,0.00106128,0.00106128
63,214.234,1.78224,1.29126,1.46161,0.62172,0.28386,0.29194,0.11604,2.1644,1.71129,1.74397,0.00105819,0.00105819,0.00105819
64,217.838,1.77075,1.30872,1.45312,0.54685,0.23867,0.23398,0.089,2.05573,1.89582,1.73009,0.00105509,0.00105509,0.00105509
65,220.846,1.76932,1.32169,1.43515,0.52129,0.30907,0.33013,0.12442,2.11395,1.66643,1.68519,0.001052,0.001052,0.001052
66,224.3,1.78487,1.30772,1.44666,0.40208,0.29033,0.31525,0.12864,2.01517,1.56928,1.63043,0.00104891,0.00104891,0.00104891
67,227.644,1.71846,1.29,1.41518,0.39127,0.29831,0.29232,0.11674,2.01104,1.59296,1.65725,0.00104581,0.00104581,0.00104581
68,230.626,1.7201,1.28541,1.4396,0.33079,0.33285,0.30645,0.11913,1.97751,1.53582,1.62154,0.00104272,0.00104272,0.00104272
69,234.023,1.71583,1.24312,1.41155,0.27621,0.39876,0.29258,0.1173,2.05985,1.59833,1.65941,0.00103962,0.00103962,0.00103962
70,237.42,1.71383,1.25333,1.41057,0.44067,0.2919,0.31164,0.12131,2.06112,1.54866,1.65482,0.00103653,0.00103653,0.00103653
71,240.83,1.70398,1.26565,1.41451,0.33173,0.32639,0.30629,0.12298,1.9786,1.51841,1.62636,0.00103344,0.00103344,0.00103344
72,244.002,1.70821,1.28781,1.43951,0.36535,0.32986,0.30822,0.11776,2.03779,1.56631,1.67189,0.00103034,0.00103034,0.00103034
73,247.348,1.70228,1.24269,1.4029,0.36959,0.32045,0.29822,0.12205,2.01043,1.48984,1.64485,0.00102725,0.00102725,0.00102725
74,250.617,1.69984,1.21119,1.41122,0.3123,0.34155,0.29804,0.12126,2.05334,1.47067,1.64594,0.00102416,0.00102416,0.00102416
75,254.065,1.73724,1.24126,1.41202,0.36512,0.31258,0.30439,0.12402,2.03504,1.57583,1.64289,0.00102106,0.00102106,0.00102106
76,257.371,1.70563,1.21693,1.39539,0.31978,0.38897,0.3248,0.12664,2.02381,1.46092,1.63642,0.00101797,0.00101797,0.00101797
77,260.634,1.70263,1.22256,1.40892,0.63431,0.28114,0.34352,0.13017,2.03427,1.46901,1.64264,0.00101488,0.00101488,0.00101488
78,263.932,1.67056,1.19432,1.39343,0.66195,0.28007,0.34938,0.14038,2.02172,1.50218,1.64098,0.00101178,0.00101178,0.00101178
79,267.335,1.70931,1.21163,1.39766,0.53775,0.3319,0.31851,0.12002,2.13223,1.58033,1.70563,0.00100869,0.00100869,0.00100869
80,270.748,1.70875,1.20943,1.38572,0.45181,0.37518,0.34135,0.1348,1.99775,1.53567,1.60478,0.00100559,0.00100559,0.00100559
81,274.012,1.65956,1.19269,1.38412,0.37138,0.34867,0.33684,0.13425,1.98071,1.43287,1.60992,0.0010025,0.0010025,0.0010025
82,277.324,1.6576,1.1959,1.39388,0.36601,0.33314,0.30559,0.13,2.0045,1.49365,1.63108,0.000999406,0.000999406,0.000999406
83,280.577,1.66551,1.18721,1.39077,0.33263,0.45201,0.34476,0.14003,2.00106,1.44149,1.62226,0.000996313,0.000996313,0.000996313
84,283.892,1.69845,1.1487,1.37206,0.51964,0.32182,0.36326,0.14709,2.04222,1.4851,1.65341,0.000993219,0.000993219,0.000993219
85,287.245,1.67575,1.15899,1.3721,0.44427,0.30478,0.33023,0.13017,2.03316,1.51733,1.64207,0.000990125,0.000990125,0.000990125
86,290.685,1.61865,1.1494,1.35911,0.44906,0.38334,0.36805,0.14382,2.03544,1.52605,1.64063,0.000987031,0.000987031,0.000987031
87,293.941,1.63721,1.13551,1.36201,0.39373,0.34361,0.34344,0.13242,2.04606,1.48646,1.65419,0.000983938,0.000983938,0.000983938
88,297.277,1.62944,1.13373,1.34538,0.48753,0.33293,0.34568,0.13656,2.09178,1.48278,1.67949,0.000980844,0.000980844,0.000980844
89,300.576,1.6129,1.12647,1.36644,0.37986,0.30843,0.32226,0.1196,2.09832,1.53912,1.69054,0.00097775,0.00097775,0.00097775
90,303.937,1.62692,1.11196,1.33955,0.42306,0.35697,0.35798,0.13469,2.11912,1.52463,1.71944,0.000974656,0.000974656,0.000974656
91,307.288,1.6355,1.08412,1.35642,0.38326,0.41577,0.33082,0.13047,2.08386,1.53094,1.69542,0.000971562,0.000971562,0.000971562
92,310.52,1.60033,1.09532,1.32647,0.42589,0.37895,0.32509,0.12591,2.04507,1.47047,1.65897,0.000968469,0.000968469,0.000968469
93,313.825,1.63652,1.11742,1.34332,0.35078,0.35355,0.32122,0.13209,2.03741,1.53252,1.6594,0.000965375,0.000965375,0.000965375
94,317.134,1.62327,1.12306,1.34651,0.34232,0.28803,0.28137,0.11511,2.06513,1.56374,1.68624,0.000962281,0.000962281,0.000962281
95,320.204,1.61757,1.11676,1.36955,0.51403,0.3379,0.34157,0.12568,2.16093,1.53976,1.72457,0.000959187,0.000959187,0.000959187
96,323.72,1.59152,1.09184,1.34875,0.48911,0.33663,0.33664,0.13363,2.15508,1.49927,1.69252,0.000956094,0.000956094,0.000956094
97,326.952,1.6381,1.10733,1.32827,0.38869,0.32565,0.31302,0.11559,2.1949,1.5494,1.71123,0.000953,0.000953,0.000953
98,330.234,1.61534,1.12292,1.3425,0.41406,0.31673,0.30495,0.1214,2.1085,1.4929,1.6755,0.000949906,0.000949906,0.000949906
99,333.549,1.59688,1.09372,1.33204,0.45487,0.40232,0.33361,0.12903,2.03892,1.44899,1.68172,0.000946812,0.000946812,0.000946812
100,336.902,1.55341,1.06554,1.33692,0.37537,0.39177,0.31886,0.12396,2.10951,1.58303,1.7428,0.000943719,0.000943719,0.000943719
101,340.132,1.59583,1.07837,1.33408,0.41699,0.33228,0.32525,0.12301,2.09322,1.49346,1.69334,0.000940625,0.000940625,0.000940625
102,343.626,1.60953,1.08499,1.30978,0.38236,0.31126,0.28407,0.11468,2.13898,1.61736,1.7244,0.000937531,0.000937531,0.000937531
103,346.788,1.57677,1.07903,1.33034,0.41501,0.36108,0.33665,0.14306,2.03473,1.45693,1.65014,0.000934438,0.000934438,0.000934438
104,350.142,1.54434,1.06602,1.31659,0.42974,0.33841,0.33263,0.12915,2.0981,1.46473,1.65817,0.000931344,0.000931344,0.000931344
105,353.353,1.58883,1.06027,1.32305,0.3509,0.41017,0.33505,0.1272,2.15125,1.50031,1.70134,0.00092825,0.00092825,0.00092825
106,356.611,1.53293,1.03855,1.32105,0.41263,0.29998,0.31974,0.12361,2.13346,1.47495,1.70355,0.000925156,0.000925156,0.000925156
107,360.053,1.56434,1.0329,1.30446,0.45506,0.33768,0.33141,0.12121,2.18453,1.49295,1.7396,0.000922063,0.000922063,0.000922063
108,363.284,1.55345,1.03184,1.30033,0.38031,0.32114,0.32612,0.12033,2.14194,1.52057,1.71292,0.000918969,0.000918969,0.000918969
109,366.772,1.58424,1.05882,1.32257,0.35171,0.37036,0.3163,0.12598,2.10285,1.52381,1.70744,0.000915875,0.000915875,0.000915875
110,370.015,1.54636,1.03448,1.30941,0.47206,0.30493,0.32566,0.12732,2.12572,1.48764,1.74581,0.000912781,0.000912781,0.000912781
111,373.31,1.55644,1.03591,1.31565,0.37485,0.35829,0.29939,0.11699,2.12003,1.58217,1.7029,0.000909688,0.000909688,0.000909688
112,376.634,1.55192,1.02379,1.3129,0.33693,0.38722,0.31127,0.12314,2.14611,1.46521,1.72161,0.000906594,0.000906594,0.000906594
113,379.805,1.53857,1.03548,1.29931,0.38529,0.29311,0.27236,0.11096,2.16087,1.51912,1.73816,0.0009035,0.0009035,0.0009035
114,383.185,1.52817,1.01163,1.29736,0.4622,0.28671,0.29278,0.11652,2.21286,1.55491,1.77492,0.000900406,0.000900406,0.000900406
115,386.538,1.52742,1.01552,1.30384,0.42254,0.36327,0.32983,0.12413,2.17961,1.50571,1.77148,0.000897313,0.000897313,0.000897313
116,389.859,1.51332,1.00042,1.29336,0.35684,0.34432,0.30827,0.1185,2.16087,1.53527,1.77412,0.000894219,0.000894219,0.000894219
117,393.152,1.51246,0.99191,1.28825,0.41519,0.36601,0.3469,0.1294,2.17108,1.52251,1.78698,0.000891125,0.000891125,0.000891125
118,396.521,1.53409,1.00242,1.27199,0.42225,0.36196,0.32318,0.12748,2.15718,1.52132,1.73879,0.000888031,0.000888031,0.000888031
119,399.954,1.52009,0.99404,1.28069,0.4669,0.35263,0.32907,0.12828,2.13215,1.47441,1.75143,0.000884938,0.000884938,0.000884938
120,403.266,1.49325,0.99288,1.26909,0.38544,0.37412,0.31236,0.1241,2.09609,1.45458,1.73017,0.000881844,0.000881844,0.000881844
121,406.649,1.51693,0.96871,1.25362,0.42006,0.27553,0.2828,0.1084,2.19638,1.55315,1.81657,0.00087875,0.00087875,0.00087875
122,409.949,1.50892,0.96595,1.25632,0.32294,0.29304,0.29032,0.11156,2.22042,1.65676,1.8256,0.000875656,0.000875656,0.000875656
123,413.359,1.52806,0.97151,1.26682,0.34932,0.30517,0.31208,0.11795,2.25643,1.57742,1.78327,0.000872563,0.000872563,0.000872563
124,416.65,1.51337,0.9816,1.29486,0.40835,0.32892,0.31571,0.12337,2.22716,1.5187,1.77283,0.000869469,0.000869469,0.000869469
125,419.859,1.48793,0.96785,1.26384,0.45245,0.34198,0.32342,0.12271,2.1764,1.52339,1.77216,0.000866375,0.000866375,0.000866375
126,423.071,1.48542,0.98236,1.29197,0.37132,0.41657,0.31934,0.12096,2.17535,1.49682,1.77184,0.000863281,0.000863281,0.000863281
127,426.364,1.53677,0.97309,1.26451,0.37695,0.38664,0.33395,0.12687,2.18906,1.48653,1.76159,0.000860188,0.000860188,0.000860188
128,429.779,1.4656,0.93608,1.23852,0.40431,0.4363,0.34911,0.12598,2.21238,1.53156,1.79221,0.000857094,0.000857094,0.000857094
129,433.167,1.48897,0.97312,1.27626,0.3814,0.35875,0.30135,0.11923,2.1762,1.55022,1.79707,0.000854,0.000854,0.000854
130,436.624,1.44935,0.92347,1.24879,0.35515,0.47742,0.35768,0.13968,2.13787,1.47653,1.71537,0.000850906,0.000850906,0.000850906
131,439.879,1.48371,0.94695,1.25436,0.35988,0.39494,0.3537,0.13142,2.1772,1.46303,1.74545,0.000847813,0.000847813,0.000847813
132,443.186,1.43905,0.92288,1.23821,0.363,0.39624,0.34958,0.12843,2.2052,1.49343,1.7532,0.000844719,0.000844719,0.000844719
133,446.601,1.44462,0.92461,1.23655,0.38752,0.35636,0.33436,0.12835,2.16948,1.50895,1.72642,0.000841625,0.000841625,0.000841625
134,449.909,1.4701,0.94325,1.24726,0.29641,0.38692,0.33981,0.12727,2.12895,1.466,1.74523,0.000838531,0.000838531,0.000838531
135,453.184,1.4817,0.93535,1.24027,0.31965,0.42031,0.34525,0.13472,2.13433,1.47555,1.73429,0.000835438,0.000835438,0.000835438
136,456.427,1.4303,0.91608,1.2384,0.32521,0.43902,0.33484,0.13368,2.15176,1.49898,1.76023,0.000832344,0.000832344,0.000832344
137,459.865,1.42301,0.9145,1.22003,0.47598,0.37565,0.34093,0.13715,2.15296,1.45983,1.77953,0.00082925,0.00082925,0.00082925
138,463.079,1.44401,0.89849,1.22911,0.39094,0.39698,0.3505,0.13801,2.18469,1.48421,1.7718,0.000826156,0.000826156,0.000826156
139,466.144,1.46579,0.91931,1.23756,0.4576,0.39309,0.35792,0.1429,2.20257,1.5211,1.78044,0.000823063,0.000823063,0.000823063
140,469.427,1.43389,0.89899,1.22263,0.44346,0.37354,0.35841,0.13812,2.22023,1.49121,1.78593,0.000819969,0.000819969,0.000819969
141,472.687,1.42557,0.9186,1.22819,0.41354,0.3354,0.31352,0.12402,2.22098,1.57089,1.78915,0.000816875,0.000816875,0.000816875
142,476.03,1.44097,0.92587,1.23279,0.32293,0.39072,0.30258,0.12043,2.23968,1.5625,1.83042,0.000813781,0.000813781,0.000813781
143,479.453,1.45718,0.91705,1.25423,0.39538,0.29859,0.30898,0.12226,2.1873,1.51511,1.75652,0.000810688,0.000810688,0.000810688
144,482.797,1.4423,0.91328,1.23488,0.4906,0.29142,0.3132,0.12175,2.20572,1.54586,1.78914,0.000807594,0.000807594,0.000807594
145,486,1.43314,0.90342,1.2329,0.42304,0.37445,0.32586,0.1197,2.14269,1.55025,1.75406,0.0008045,0.0008045,0.0008045
146,489.428,1.42071,0.88987,1.21132,0.47078,0.32629,0.31031,0.12603,2.18534,1.57323,1.83402,0.000801406,0.000801406,0.000801406
147,492.809,1.41782,0.88864,1.20194,0.37014,0.36845,0.31206,0.12443,2.22226,1.50266,1.86329,0.000798313,0.000798313,0.000798313
148,496.136,1.42817,0.89134,1.21321,0.35848,0.31313,0.30051,0.11323,2.22044,1.56861,1.82918,0.000795219,0.000795219,0.000795219
149,499.396,1.40099,0.88283,1.20835,0.408,0.38477,0.33454,0.13001,2.19517,1.54754,1.79244,0.000792125,0.000792125,0.000792125
150,502.594,1.3857,0.86254,1.20391,0.45973,0.30167,0.32636,0.12324,2.21842,1.52994,1.79897,0.000789031,0.000789031,0.000789031
151,505.915,1.38984,0.87013,1.21541,0.34388,0.41995,0.3322,0.12505,2.27118,1.47666,1.84028,0.000785938,0.000785938,0.000785938
152,509.385,1.39695,0.88072,1.20904,0.41488,0.31637,0.31823,0.11878,2.22095,1.51738,1.80532,0.000782844,0.000782844,0.000782844
153,512.599,1.38803,0.86954,1.20297,0.37749,0.35046,0.32852,0.12358,2.24434,1.52592,1.84912,0.00077975,0.00077975,0.00077975
154,516.053,1.37444,0.85412,1.20057,0.42511,0.39165,0.35256,0.13451,2.1659,1.49174,1.75662,0.000776656,0.000776656,0.000776656
155,519.249,1.36033,0.85345,1.18418,0.32631,0.40168,0.3254,0.13242,2.20213,1.54236,1.80388,0.000773563,0.000773563,0.000773563
156,522.626,1.3703,0.85289,1.18519,0.40315,0.39544,0.34302,0.14704,2.20385,1.53275,1.80744,0.000770469,0.000770469,0.000770469
157,525.713,1.35444,0.85522,1.19765,0.41086,0.32865,0.34907,0.13682,2.13962,1.48107,1.76378,0.000767375,0.000767375,0.000767375
