epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,260.476,1.73557,1.24411,1.4054,0.40678,0.33565,0.31252,0.12269,2.09663,1.59077,1.71236,0.00102725,0.00102725,0.00102725
74,263.996,1.72966,1.24625,1.4148,0.40932,0.32332,0.31971,0.12558,2.09772,1.65308,1.67848,0.00102416,0.00102416,0.00102416
75,267.523,1.76815,1.2644,1.41472,0.42905,0.36608,0.35292,0.14638,2.01118,1.59036,1.64894,0.00102106,0.00102106,0.00102106
76,270.83,1.72211,1.24136,1.39113,0.3916,0.30562,0.30895,0.12078,2.06463,1.57809,1.68741,0.00101797,0.00101797,0.00101797
77,274.408,1.7272,1.24313,1.40614,0.34745,0.34422,0.32909,0.13211,2.04826,1.57024,1.68163,0.00101488,0.00101488,0.00101488
78,277.938,1.7009,1.21532,1.39974,0.3773,0.3957,0.33152,0.13101,2.042,1.61423,1.70394,0.00101178,0.00101178,0.00101178
79,281.516,1.73029,1.2331,1.38962,0.42392,0.31187,0.27351,0.10494,2.09654,1.69174,1.73868,0.00100869,0.00100869,0.00100869
80,284.953,1.73232,1.24713,1.38762,0.39375,0.35742,0.31012,0.12575,2.0534,1.60312,1.69844,0.00100559,0.00100559,0.00100559
81,288.414,1.68911,1.23051,1.39319,0.38679,0.31508,0.28244,0.11374,2.02397,1.62057,1.67636,0.0010025,0.0010025,0.0010025
82,291.853,1.67907,1.21277,1.39113,0.30741,0.40889,0.28114,0.11578,2.05783,1.67965,1.66694,0.000999406,0.000999406,0.000999406
83,295.337,1.70113,1.2076,1.39728,0.35416,0.39653,0.29873,0.11584,2.06877,1.61981,1.6997,0.000996313,0.000996313,0.000996313
84,298.91,1.74027,1.16986,1.38536,0.43733,0.39413,0.33419,0.12646,2.12674,1.70499,1.74949,0.000993219,0.000993219,0.000993219
85,302.143,1.71537,1.18036,1.37915,0.43699,0.34639,0.33427,0.1342,2.07162,1.58794,1.67493,0.000990125,0.000990125,0.000990125
