epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,298.723,1.69345,1.21912,1.39088,0.32838,0.43684,0.32775,0.12055,2.08185,1.539,1.66199,0.000996313,0.000996313,0.000996313
84,302.18,1.74239,1.19011,1.37913,0.26831,0.3495,0.26756,0.10367,2.17683,1.6572,1.73605,0.000993219,0.000993219,0.000993219
85,305.685,1.72286,1.20495,1.38311,0.35113,0.35202,0.29231,0.11221,2.06029,1.57511,1.6581,0.000990125,0.000990125,0.000990125
86,309.168,1.64906,1.18365,1.35893,0.35864,0.31444,0.27809,0.10908,2.10705,1.62237,1.66178,0.000987031,0.000987031,0.000987031
87,312.764,1.67388,1.18971,1.36055,0.40807,0.33952,0.28367,0.10671,2.12497,1.64386,1.701,0.000983938,0.000983938,0.000983938
88,316.255,1.65288,1.17221,1.34283,0.31274,0.47187,0.3263,0.11943,2.1648,1.72632,1.72812,0.000980844,0.000980844,0.000980844
89,319.822,1.63787,1.17482,1.37081,0.47525,0.30845,0.33185,0.12256,2.10824,1.5526,1.69887,0.00097775,0.00097775,0.00097775
90,323.358,1.66886,1.17057,1.35012,0.32238,0.40506,0.29156,0.10857,2.11611,1.64604,1.7353,0.000974656,0.000974656,0.000974656
91,327.132,1.67423,1.14101,1.36452,0.27809,0.32693,0.26328,0.0986,2.17838,1.78758,1.7961,0.000971562,0.000971562,0.000971562
92,330.524,1.64517,1.15142,1.33864,0.40771,0.2602,0.2484,0.09052,2.18398,1.91432,1.77175,0.000968469,0.000968469,0.000968469
93,334.105,1.68113,1.17617,1.3599,0.35157,0.28069,0.24109,0.09764,2.21472,1.79781,1.79572,0.000965375,0.000965375,0.000965375
94,337.693,1.65365,1.15902,1.34336,0.29427,0.46046,0.29259,0.11969,2.07867,1.55404,1.69711,0.000962281,0.000962281,0.000962281
95,341.171,1.62847,1.15132,1.35576,0.40849,0.35136,0.29652,0.11641,2.07769,1.53998,1.6766,0.000959187,0.000959187,0.000959187
96,344.644,1.61341,1.1162,1.33883,0.37441,0.34665,0.28108,0.106,2.13888,1.58767,1.74046,0.000956094,0.000956094,0.000956094
97,348.027,1.67358,1.15016,1.33843,0.4162,0.28929,0.27936,0.10994,2.14888,1.6189,1.74486,0.000953,0.000953,0.000953
98,351.509,1.65468,1.1694,1.35314,0.39962,0.29501,0.29396,0.11766,2.07917,1.58806,1.70868,0.000949906,0.000949906,0.000949906
99,354.919,1.63123,1.13649,1.33753,0.40381,0.3243,0.30582,0.12391,2.04388,1.5243,1.67606,0.000946812,0.000946812,0.000946812
100,358.421,1.58567,1.10757,1.33965,0.37881,0.4172,0.31961,0.11719,2.10485,1.52911,1.71989,0.000943719,0.000943719,0.000943719
