epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,219.585,1.78082,1.37292,1.45676,0.32359,0.28603,0.26987,0.10208,2.14142,1.76535,1.73511,0.00107366,0.00107366,0.00107366
59,223.259,1.80507,1.34363,1.44853,0.44086,0.25506,0.28871,0.11861,2.12404,1.7621,1.762,0.00107056,0.00107056,0.00107056
60,227.019,1.76182,1.31634,1.43925,0.39736,0.2573,0.27481,0.11348,1.99629,1.69029,1.65349,0.00106747,0.00106747,0.00106747
61,230.784,1.79645,1.36502,1.44834,0.3676,0.42464,0.29989,0.11902,2.00078,1.6772,1.62417,0.00106437,0.00106437,0.00106437
62,234.569,1.77041,1.33081,1.43096,0.33619,0.32089,0.28074,0.11416,2.06663,1.69146,1.66604,0.00106128,0.00106128,0.00106128
63,238.196,1.80529,1.32253,1.44819,0.53052,0.28895,0.25346,0.10232,2.07334,1.67437,1.6924,0.00105819,0.00105819,0.00105819
64,242.023,1.78151,1.33616,1.43399,0.47864,0.32896,0.27399,0.10783,2.07971,1.72056,1.73467,0.00105509,0.00105509,0.00105509
65,245.724,1.78265,1.31223,1.42826,0.34632,0.34527,0.32751,0.13018,2.02472,1.60979,1.65671,0.001052,0.001052,0.001052
66,249.38,1.79564,1.3153,1.45125,0.37877,0.31346,0.316,0.12615,2.02338,1.56364,1.65013,0.00104891,0.00104891,0.00104891
67,252.98,1.75806,1.32379,1.40811,0.39213,0.30853,0.27363,0.10888,2.00617,1.61371,1.64434,0.00104581,0.00104581,0.00104581
68,256.53,1.73533,1.29746,1.42523,0.46718,0.33088,0.29063,0.11458,2.05273,1.65082,1.66789,0.00104272,0.00104272,0.00104272
69,260.379,1.74332,1.27218,1.41285,0.6157,0.27279,0.32189,0.13113,2.0254,1.58807,1.6371,0.00103962,0.00103962,0.00103962
